Fullname,Nationality,Age,Club,Caps,Goals,Date Joined,Contract Ends,,Birthsday,Start year,Best position,Goalkeeper,Defender Central,Defender Right,Defender Left,Wingback right,Wingback left,Defensive midfielder,Midfielder Central,Midfielder right,Midfielder left,Attacking Midfielder Central,Attacking Midfielder right,Attacking Midfielder left,Center Forward,Right Forward,Left Forward,Goalkeeper,Sweeper,Defender,Defensive midfield,Midfield Center,Support,Attack,Right,Left,Centre,Ability,Potential,Reputation,Big Occasion,Character,Consistency,Technique,Passing,Heading,Shooting,Flair,Dribbling,Tackling,Stamina,Strenght,Pace,Jumping,Inj Prone %,Set Pieces,Positioning,Off The Ball,Marking,Creativity,Adaptability,Aggression,Determination,Dirtyness,Influence
SÇrgio Duarte,Brazil,31,,0,0,7,,,20-1-1965,01-07-1996,,0,50,0,0,0,0,100,100,0,0,0,0,0,0,0,0,0,0,1,2,2,0,0,0,0,2,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0
Fabio N?n?,Brazil,21,,0,0,,,,6-6-1975,01-07-1996,,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Roman Kosecki,Poland,30,,0,0,,,,15-2-1966,01-07-1996,,0,0,0,0,0,0,0,100,0,0,100,0,0,100,0,0,0,0,0,0,2,2,2,0,0,2,80,80,95,4,10,6,70,60,50,70,40,85,50,80,60,35,0,0,60,40,80,10,85,20,50,75,90,0
Emilio Viqueira,Spain,21,,0,0,7,,,20-9-1974,01-07-1996,,0,0,0,0,100,100,100,100,100,100,50,50,50,0,0,0,0,0,0,2,2,1,0,1,1,2,111,156,110,12,7,13,55,80,85,30,45,50,65,70,85,70,0,40,35,55,50,35,35,55,40,30,25,20
S?ren Andersen,Denmark,26,AaB,5,0,,,,31-1-1970,01-07-1996,,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,2,0,0,2,140,158,130,13,10,16,60,35,55,85,70,50,85,80,90,80,0,30,60,80,65,40,50,75,60,60,50,35
Thomas Jensen,Denmark,21,AaB,0,0,,,,4-8-1974,01-07-1996,,0,50,50,0,0,0,0,100,100,0,0,0,0,0,0,0,0,0,1,0,2,0,0,1,0,2,102,128,0,9,12,14,55,45,55,0,0,0,60,50,60,35,0,0,60,55,50,0,45,50,45,55,50,45
Jens Jessen,Denmark,28,AaB,0,0,,,,20-10-1967,01-07-1996,,0,100,100,0,0,0,0,100,100,0,0,0,0,0,0,0,0,0,2,0,2,0,0,2,0,2,124,129,0,12,13,18,65,50,60,40,50,50,70,75,60,90,0,0,60,65,60,70,60,65,50,65,60,65
Jacob KrÅger,Denmark,21,AaB,0,0,,,,23-5-1975,01-07-1996,,0,0,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,2,0,112,162,0,12,12,12,60,55,65,50,45,45,90,60,55,0,0,0,50,65,60,75,50,55,55,45,60,60
Morten Lauritsen,Denmark,18,AaB,0,0,,,,10-12-1977,01-07-1996,,0,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,2,2,94,-1,0,13,10,5,70,85,55,25,50,95,75,20,60,40,0,75,80,60,70,95,80,85,60,30,65,60
Frank Madsen,Denmark,22,AaB,0,0,,,,1-1-19        ,01-07-1996,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
