League;Nation;Hiracy;Teams;Rounds;Bench;Subs;Pausestart;Pauseend;Transferwindowsummerstart;Transferwindowsummerend;Transferwindowwinterstart;Transferwindowwinterend;Default match day;Round 1;Round 2;Round 3;Round 4;Round 5;Round 6;Round 7;Round 8;Round 9;Round 10;Round 11;Round 12;Round 13;Round 14;Round 15;Round 16;Round 17;Round 18;Round 19;Round 20;Round 21;Round 22;Round 23;Round 24;Round 25;Round 26;Round 27;Round 28;Round 29;Round 30;Round 31;Round 32;Round 33;Round 34;Round 35;Round 36;Round 37;Round 38
Premier League;England;1;20;38;5;3;;;1;52;;;Saturday;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17
Serie A;Italy;1;;;5;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
La Liga;Spain;1;;;5;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Superliga;Denmark;1;12;33;5;3;;;;;;;Sunday;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;12;13;14;15;16;17;18;19;20;21;21;22;22;23;23;24;;;;;
Bundesliga;Germany;1;;;5;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2, Bundesliga;Germany;2;;;5;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Friendly;;1;;;11;11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
