Player ID;Fullname;Nationality;Age;Club;ClubID;Caps;Goals;Date Joined;Contract Ends;Column1;Birthsday;Start year;Best position;Goalkeeper;Defender Central;Defender Right;Defender Left;Wingback right;Wingback left;Defensive midfielder;Midfielder Central;Midfielder right;Midfielder left;Attacking Midfielder Central;Attacking Midfielder right;Attacking Midfielder left;Center Forward;Right Forward;Left Forward;Ability;Potential;Reputation;Big Occasion;Character;Consistency;Technique;Passing;Heading;Shooting;Flair;Dribbling;Tackling;Stamina;Strength;Pace;Jumping;Inj Prone %;Set Pieces;Positioning;Off The Ball;Marking;Creativity;Adaptability;Aggression;Determination;Dirtyness;Influence
1;S?rgio Duarte;Brazil;31;;#N/A;0;0;7;;;20-01-1965;01-07-1996;DMC;0;50;0;0;0;0;100;100;0;0;0;0;0;0;0;0;120;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12;0;0;0;0;0;0;0;0;0;0;0;0
2;Fabio N?n?;Brazil;21;;0;0;0;;;;06-06-1975;01-07-1996;FC;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14;0;0;0;0;0;0;0;0;0;0;0
3;Roman Kosecki;Poland;30;;0;0;0;;;;15-02-1966;01-07-1996;AMC;0;0;0;0;0;0;0;100;0;0;100;0;0;100;0;0;80;80;95;4;10;6;14;12;10;14;8;17;10;16;12;7;11;0;12;8;16;2;17;4;10;15;18;0
4;Emilio Viqueira;Spain;21;;0;0;0;7;;;20-09-1974;01-07-1996;MC;0;0;0;0;100;100;100;100;100;100;50;50;50;0;0;0;111;156;110;12;7;13;11;16;17;6;9;10;13;14;17;14;17;8;7;11;10;7;7;11;8;6;5;4
5;S?ren Andersen;Denmark;26;AaB;1;5;0;;;;31-01-1970;01-07-1996;FC;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0;0;140;158;130;13;10;16;12;7;11;17;14;10;17;16;18;16;14,5;6;12;16;13;8;10;15;12;12;10;7
6;Thomas Jensen;Denmark;21;AaB;1;0;0;;;;04-08-1974;01-07-1996;MC;0;50;50;0;0;0;0;100;100;0;0;0;0;0;0;0;102;128;0;9;12;14;11;9;11;0;0;0;12;10;12;7;11,5;0;12;11;10;0;9;10;9;11;10;9
7;Jens Jessen;Denmark;28;AaB;1;0;0;;;;20-10-1967;01-07-1996;DC;0;100;100;0;0;0;0;100;100;0;0;0;0;0;0;0;124;129;0;12;13;18;13;10;12;8;10;10;14;15;12;18;12;0;12;13;12;14;12;13;10;13;12;13
8;Jacob Kr?ger;Denmark;21;AaB;1;0;0;;;;23-05-1975;01-07-1996;DR;0;0;100;100;0;0;0;0;0;0;0;0;0;0;0;0;112;162;0;12;12;12;12;11;13;10;9;9;18;12;11;0;12;0;10;13;12;15;10;11;11;9;12;12
9;Morten Lauritsen;Denmark;18;AaB;1;0;0;;;;10-12-1977;01-07-1996;DC;0;100;100;100;0;0;0;0;0;0;0;0;0;0;0;0;94;-1;0;13;10;5;14;17;11;5;10;19;15;4;12;8;11,5;15;16;12;14;19;16;17;12;6;13;12
10;Frank Madsen;Denmark;22;AaB;1;0;0;;;;01-01-2019;01-07-1996;GK;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14;0;0;0;0;0;0;0;0;0;0;0
11;Jimmi Nielsen;Denmark;18;AaB;1;0;0;;;;06-08-1977;01-07-1996;GK;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;115;137;0;0;7;0;9;8;14;0;0;0;15;13;13;0;13,5;0;14;16;10;0;9;0;8;0;9;7
12;Jan Pedersen;Denmark;29;AaB;1;0;0;;;;12-11-1966;01-07-1996;AMR;0;0;0;0;0;0;0;0;100;100;0;100;100;0;0;0;114;125;0;8;8;4;9;11;10;9;12;12;13;15;9;0;9,5;0;9;9;9;9;11;8;9;9;9;7
13;Jari Pedersen;Denmark;19;AaB;1;0;0;;;;02-09-1976;01-07-1996;FC;0;0;0;0;0;0;0;0;0;0;0;0;0;100;100;100;114;-1;0;13;14;13;13;16;16;16;14;13;10;12;17;0;16,5;0;12;17;13;10;13;18;12;10;8;11
